porto,sentido,eta,mercadoria,peso,unidade_Peso
Paranagua,Export,01/06/2024,AÇÚCAR,52140000,Tons
Paranagua,Export,01/06/2024,FARELO DE SOJA,63000000,Tons
Paranagua,Export,01/06/2024,OLEO DE SOJA,7000000,Tons
Paranagua,Import,01/06/2024,SUPERFOSFATO SIMPLES (Outros),51200000,Tons
Paranagua,Import,01/06/2024,CLORETO DE POTASSIO,23254000,Tons
Paranagua,Export,02/06/2024,AÇÚCAR,67500000,Tons
Paranagua,Export,02/06/2024,SOJA,126000000,Tons
Paranagua,ImportExport,02/06/2024,CONTÊINERES,1500,Movs
Paranagua,Import,02/06/2024,UREIA,40500000,Tons
Paranagua,Import,02/06/2024,NITRATO DE AMONIO,15738000,Tons
Paranagua,ImportExport,03/06/2024,CONTÊINERES,3350,Movs
Paranagua,Import,03/06/2024,Outras,4350000,Tons
Paranagua,Import,03/06/2024,OLEO DIESEL,105000000,Tons
Paranagua,Import,03/06/2024,FERTILIZ.MINER.QUIM.C/NITROGEN,24987000,Tons
Paranagua,Import,03/06/2024,ALIMET,2503000,Tons
Paranagua,Export,03/06/2024,OUTS.ACUCARES,30096000,Tons
Paranagua,Export,03/06/2024,FARELO DE SOJA,62000000,Tons
Paranagua,Export,03/06/2024,MILHO,72000000,Tons
Paranagua,Export,03/06/2024,OLEO DE SOJA,9000000,Tons
Paranagua,Export,03/06/2024,SOJA,186000000,Tons
Paranagua,ImportExport,04/06/2024,AUTOMÓVEIS DE PASSAGEIROS E OU,500,Movs
Paranagua,Export,04/06/2024,AÇÚCAR,30000000,Tons
Paranagua,Export,04/06/2024,"BIODIESEL E SUAS MISTURAS,C/ M",3500000,Tons
Paranagua,Export,04/06/2024,MILHO,19908000,Tons
Paranagua,Export,04/06/2024,OLEO DE MILHO,3500000,Tons
Paranagua,ImportExport,04/06/2024,CONTÊINERES,900,Movs
Paranagua,Import,04/06/2024,MAP,17850000,Tons
Paranagua,Import,04/06/2024,UREIA,30000000,Tons
Paranagua,Export,04/06/2024,OUTROS OLEOS DE DENDE,5075000,Tons
Paranagua,ImportExport,04/06/2024,TRATORES MOTOCULTORES,429000,Tons
Paranagua,ImportExport,04/06/2024,METILATO DE SODIO EM METANOL,1600000,Tons
Paranagua,Import,04/06/2024,CLORETOS DE POTASSIO,67424000,Tons
Paranagua,Import,04/06/2024,Gasolinas,31000000,Tons
Paranagua,ImportExport,05/06/2024,CONTÊINERES,4550,Movs
Paranagua,Export,05/06/2024,OUTS.ACUCARES,27500000,Tons
Paranagua,Export,05/06/2024,SOJA,60000000,Tons
Paranagua,Import,06/06/2024,FERTILIZ.MINER.QUIM.C/NITROGEN,33000000,Tons
