porto,sentido,eta,mercadoria,peso,unidade_Peso
Santos,export,07/02/2024,ACUCAR A GRANEL,46000,Tons
Santos,export,30/04/2024,ACUCAR A GRANEL,50000,Tons
Santos,export,02/05/2024,ACUCAR A GRANEL,75258,Tons
Santos,export,11/05/2024,ACUCAR A GRANEL,35000,Tons
Santos,export,16/05/2024,ACUCAR A GRANEL,33000,Tons
Santos,export,16/05/2024,GRAN.SOLIDO NAO ESPECIF,60000,Tons
Santos,export,18/05/2024,ACUCAR A GRANEL,60500,Tons
Santos,export,20/05/2024,ACUCAR A GRANEL,83000,Tons
Santos,export,23/05/2024,ACUCAR A GRANEL,71500,Tons
Santos,export,24/05/2024,ACUCAR A GRANEL,25300,Tons
Santos,import,25/05/2024,FERTILIZANTES,34300,Tons
Santos,import,27/05/2024,ENXOFRE A GRANEL,38499,Tons
Santos,export,30/05/2024,ACUCAR A GRANEL,30000,Tons
Santos,export,31/05/2024,ACUCAR A GRANEL,112500,Tons
Santos,export,02/06/2024,ACUCAR A GRANEL,589081,Tons
Santos,export,03/06/2024,ACUCAR A GRANEL,124210,Tons
Santos,import,03/06/2024,SAL A GRANEL,50850,Tons
Santos,import,04/06/2024,FERTILIZANTES,48396,Tons
Santos,import,04/06/2024,GRAN.SOLIDO NAO ESPECIF,56500,Tons
Santos,import,05/06/2024,FERTILIZANTES,55064,Tons
Santos,export,05/06/2024,ACUCAR A GRANEL,35000,Tons
Santos,import,06/06/2024,FERTILIZANTES,33000,Tons
Santos,import,07/06/2024,FERTILIZANTES,15500,Tons
Santos,import,07/06/2024,GRAN.SOLIDO NAO ESPECIF,9446,Tons
Santos,export,08/06/2024,ACUCAR A GRANEL,71750,Tons
Santos,import,09/06/2024,FERTILIZANTES,14331,Tons
Santos,import,11/06/2024,FERTILIZANTES,31006,Tons
Santos,import,17/06/2024,ENXOFRE A GRANEL,35000,Tons
