porto,sentido,eta,mercadoria,peso,unidade_Peso
Santos,export,07/02/2024,ACUCAR A GRANEL,46000,Tons
Santos,export,30/04/2024,ACUCAR A GRANEL,50000,Tons
Santos,export,02/05/2024,ACUCAR A GRANEL,75258,Tons
Santos,export,11/05/2024,ACUCAR A GRANEL,35000,Tons
Santos,export,16/05/2024,ACUCAR A GRANEL,33000,Tons
Santos,export,16/05/2024,GRAN.SOLIDO NAO ESPECIF,60000,Tons
Santos,export,18/05/2024,ACUCAR A GRANEL,60500,Tons
Santos,export,20/05/2024,ACUCAR A GRANEL,83000,Tons
Santos,export,23/05/2024,ACUCAR A GRANEL,71500,Tons
Santos,export,24/05/2024,ACUCAR A GRANEL,25300,Tons
Santos,export,30/05/2024,ACUCAR A GRANEL,30000,Tons
Santos,export,31/05/2024,ACUCAR A GRANEL,112500,Tons
Santos,export,02/06/2024,ACUCAR A GRANEL,589081,Tons
Santos,export,03/06/2024,ACUCAR A GRANEL,124210,Tons
Santos,export,05/06/2024,ACUCAR A GRANEL,35000,Tons
Santos,export,08/06/2024,ACUCAR A GRANEL,71750,Tons
