porto,sentido,eta,mercadoria,peso,unidade_Peso
Santos,import,25/05/2024,FERTILIZANTES,34300,Tons
Santos,import,27/05/2024,ENXOFRE A GRANEL,38499,Tons
Santos,import,03/06/2024,SAL A GRANEL,50850,Tons
Santos,import,04/06/2024,FERTILIZANTES,48396,Tons
Santos,import,04/06/2024,GRAN.SOLIDO NAO ESPECIF,56500,Tons
Santos,import,05/06/2024,FERTILIZANTES,55064,Tons
Santos,import,06/06/2024,FERTILIZANTES,33000,Tons
Santos,import,07/06/2024,FERTILIZANTES,15500,Tons
Santos,import,07/06/2024,GRAN.SOLIDO NAO ESPECIF,9446,Tons
Santos,import,09/06/2024,FERTILIZANTES,14331,Tons
Santos,import,11/06/2024,FERTILIZANTES,31006,Tons
Santos,import,17/06/2024,ENXOFRE A GRANEL,35000,Tons
